-1.755000e-04, -5.791500e-03, 0.000000
-5.850000e-05, -5.791500e-03, 0.000545
5.850000e-05, -5.791500e-03, 0.000545
1.755000e-04, -5.791500e-03, 0.000000
2.925000e-04, -5.791500e-03, 0.000000
4.095000e-04, -5.791500e-03, 0.001091
5.265000e-04, -5.791500e-03, 0.000000
6.435000e-04, -5.791500e-03, 0.000000
7.605000e-04, -5.791500e-03, 0.000000
8.775000e-04, -5.791500e-03, 0.000000
9.945000e-04, -5.791500e-03, 0.000000
1.111500e-03, -5.791500e-03, 0.000000
1.228500e-03, -5.791500e-03, 0.001091
1.345500e-03, -5.791500e-03, 0.000000
1.462500e-03, -5.791500e-03, 0.000000
1.579500e-03, -5.791500e-03, 0.001091
1.696500e-03, -5.791500e-03, 0.000000
1.813500e-03, -5.791500e-03, 0.000000
1.930500e-03, -5.791500e-03, 0.000000
2.047500e-03, -5.791500e-03, 0.000000
2.164500e-03, -5.791500e-03, 0.000000
2.281500e-03, -5.791500e-03, 0.000000
2.398500e-03, -5.791500e-03, 0.001091
2.515500e-03, -5.791500e-03, 0.000000
2.632500e-03, -5.791500e-03, 0.000000
2.749500e-03, -5.791500e-03, 0.001091
2.866500e-03, -5.791500e-03, 0.000000
2.983500e-03, -5.791500e-03, 0.000000
3.100500e-03, -5.791500e-03, 0.000000
3.217500e-03, -5.791500e-03, 0.000000
3.334500e-03, -5.791500e-03, 0.000000
3.451500e-03, -5.791500e-03, 0.000000
3.568500e-03, -5.791500e-03, 0.001091
3.685500e-03, -5.791500e-03, 0.000000
3.802500e-03, -5.791500e-03, 0.000000
3.919500e-03, -5.791500e-03, 0.000000
4.036500e-03, -5.791500e-03, 0.001091
4.153500e-03, -5.791500e-03, 0.000000
4.270500e-03, -5.791500e-03, 0.000000
4.387500e-03, -5.791500e-03, 0.000000
4.504500e-03, -5.791500e-03, 0.000000
4.621500e-03, -5.791500e-03, 0.000000
4.738500e-03, -5.791500e-03, 0.000195
4.855500e-03, -5.791500e-03, 0.000895
4.972500e-03, -5.791500e-03, 0.000000
5.089500e-03, -5.791500e-03, 0.000000
5.206500e-03, -5.791500e-03, 0.001091
